index,comments,Label,LabelConfidence
17255897,Love the new condiment station!,Good services,1
17252070,Food is not ready after I received the ready notice,Waited too long,1
17251159,Everything was excellant,Global positive feedbacks,1
17250251,Cold fries and flat fountain drink. Burger was ok.,"Bad food temperature,Good taste,Bad quality or taste","1,1,1"
17257742,quality is not expected,Bad quality or taste,1
17253092,Great food thank you,Good taste,1
17257263,Order fulfilled as expected.,Global positive feedbacks,1
17256055,Marcus made an excellent pizza. To bad Ken did not Put the drinks out of stock in the app. Lol.,"Good taste,App to improve","1,1"
17256019,Lovely. Thankyou.,Global positive feedbacks,1
17253098,Great food! So much better than it was pre-pandemic!,Good taste,1
17250133,"Chicken roll was nice but portion was small""","Good taste,Portion too small","1,1"
17257333,"Ordered an extra shot but the coffee tasted weak, don't think the extra show was added","Bad quality or taste,Bad service","1,1"
17257739,Protein amount on salads is very small. Would be great to offer some additional healthy choices. For example brown rice option when you serve white rice.,"Portion too small,Not enough options","1,1"
17257253,Order arrived quickly. Salad was nicely packed however the bottom of the grain bowl was soggy,"Arrived on time,Inappropriate packaging","1,1"
17255059,It was delicious!,Good taste,1
17256231,My drinks were missing,Wrong or missing order,1
17251276,Excellent service and very quick. I like the App and the features and very user friendly.,"Good services,Arrived on time,App works well","1,1,1"
17257110,Not fresh salat/tomatoes,Bad quality or taste,1
17257113,"Not going to order this ever again.""",Global negative feedbacks,1
17252825,Fries were soggy no ketchup available.,"Bad quality or taste,Product not available","1,1"
17252962,Goodyiu did well on everything as ysual,"Global positive feedbacks,Good services","1,1"
17257729,"Pricy""",Too expensive,1
17253215,Great service by Callum as always,Good services,1
17257452,Perfect Coffee delivered with a smile.,"Good taste,Good services","1,1"
17257594,Please remove these every-order surveys. They lock up my phone.,App to improve,1
17257638,Pork knuckle too hairy ? And egg is too well cooked,Bad quality or taste,1
17257073,Not a lot of flavor of the chicken itself.,Bad quality or taste,1
17250791,"Could do with another till in the shop, just one more. In case the app does not work!",Bad service,1
17250003,Burnt on top while crust needed more time in the oven. Got an upset stomach.,"Bad quality or taste,Bad service","1,1"
17254039,"I couldn’t eat it.""","Global positive feedbacks,Bad quality or taste","1,1"
17254268,I ordered just before 1:30 and app did not allow delivery till next day. Kitchen team were nice enough to make me a burger. Thank You!,"App to improve,Good services","1,1"
17257169,"Ojiilbjm. !!! L bc n in ‘N N""",Other,1
17257396,Overall quality of the food is bad,Bad quality or taste,1
17249032,Amazing team and great app,"App works well,Good services","1,1"
17248982,Amazing and jock service,"Global positive feedbacks,Good services","1,1"
17254936,I would love to have cold brew coffee as an option — not iced coffee.,Not enough options,1
17255026,It happened more than once and I went back to to complain.,Global negative feedbacks,1
17250940,DELICIOUS!!!!!!!!!,Good taste,1
17250825,Crudite wasn’t available,"Product not available,Wrong or missing order","1,1"
17251245,Excellent food except slightly too salt.,Good taste,1
17255935,Loved it Lance,"Good services,Global positive feedbacks","1,1"
17251224,Excellent chilli. Great portions.,"Good taste,Global positive feedbacks","1,1"
17255899,Love the new options!,Good services,1
17248946,Always great service!,Good services,1
17257351,Ordered items that weren’t available,Product not available,1
17257097,Not enough food. No vegetables (two pickles do not count),"Portion too small,Bad service","1,1"
17254914,I wasn't good 😕 the tasted of the meat sorry,Bad quality or taste,1
17257491,Pie was overcooked :-(,Bad quality or taste,1
17254854,I think having us rate after each transaction is a bit much,App to improve,1
17253024,"Great burger, best meal I have had from modern recipe",Good taste,1
17256877,Needed more tuna,Portion too small,1
17249015,Amazing service,Good services,1
17250193,Chocolate had melted and was inedible,Bad quality or taste,1
17257368,Ordered the pepperoni pizza which was the perfect size. Not to spicy and tasted great. Also loved the crust. It was made very quickly and ready when I arrived in the cafeteria and the staff were pleasant and helpful.,"Good services,Good taste,Arrived on time","1,1,1"
17255881,Love the attitude and friendliness of the staff. Food is so much better. Keep up the great work!,"Good services,Good food quality","1,1"
17250202,Chop up greens smaller. thank you,Bad service,1
17257682,Portion was far too small for the price paid,Portion too small,1
17256123,Missing brown sauce sachets,Wrong or missing order,1
17254055,"I did not picked up the food. I just new after receiving my email payment confirmation""","App to improve,Bad service","1,1"
17250835,Curry sauce like water,Bad quality or taste,1
17250250,Cold food,Bad food temperature,1
17254223,I only got 1 egg and 1 bacon rather than 2 each.,Wrong or missing order,1
17249039,Amazing! Thank you!,Global positive feedbacks,1
17255833,Lisa is fab!,"Global positive feedbacks,Good services","1,1"
17254020,"I asked to hold the cranberries, but I got cranberries and no nuts. Not a big deal, but passing along as FYI.",Wrong or missing order,1
17254916,I went to pick it up and it wasn’t there,Wrong or missing order,1
17253038,Great coffee. ????. ????,Good taste,1
17255840,little too salty but good otherwise.,Good taste,1
17255167,"I've had £2,40 taken out of my account but not ordered anything","Global negative feedbacks,App to improve","1,1"
17253960,"Hopefully you eventually have a salad bar in November.""",Not enough options,1
17257216,"One thing.. can halal meat please be marked as such on the app. I know the chicken is halal, but it'd be nice to have this on the menu incase one day the supply changes""",App to improve,1
17257670,Portion size wouldn’t have been adequate for a child’s meal it was so small. Very disappointed. I’ve taken a picture of both meals if you would like to see. On the plus side the pie was very tasty.,"Portion too small,Good taste","1,1"
17253119,Great help from the local team to sort the issue after the Twelve app failed to send the order through,"Good services,App to improve","1,1"
17256065,Matt is awesome. My food was fresh and delicious.,"Good taste,Good food quality,Good services","1,1,1"
17252814,Fries were a bit soggy,Bad quality or taste,1
17250107,Cherry Coke Zero still doesn’t scan on my phone. Yes I have the most updated version of the app,App to improve,1
17250200,Choices are too few,Not enough options,1
17253182,"Great salad, amazing dressing",Good taste,1
17257280,Order ticket didn’t print but chef helped right away to get my order going. It happens.,Good services,1
17255081,It was not a smoothie it was chunky. I had whole cubes of Ice still in the drink as well as whole pieces of fruit. It needed to be blended longer.,"Bad quality or taste,Bad service","1,1"
17255969,"Lovely breakfast as always, thanks.","Global positive feedbacks,Good food quality","1,1"
17257392,Over cook to a bit burn the egg,Bad quality or taste,1
17253789,Great team,Good services,1
17251116,"Every day I feel like the portions get smaller. For not having any meat or carbs, this salad was not worth the price. It seemed it was 1/4 filled and left me very hungry after. I wish the Seneca Kitchen options were more of a Chipotle-style build your own","Portion too small,Too expensive,Not enough options","1,1,1"
17256269,My only comment is the salad was very small. Maybe you should offer regular and large options.,Portion too small,1
17251114,"Even though there was a bit of a queue, my order was prioritised, which I appreciate. Thank you!",Good services,1
17257271,Order never was made even though it said completed. Several others had same issue.,Wrong or missing order,1
17254883,I was allowed to order and charged for soup that was not available today. Waiting for a refund. Grill person took my name.,"Wrong or missing order,Bad service","1,1"
17248962,Always so fast with my orders! Y’all are the best :),"Good services,Arrived on time","1,1"
17250015,Buttermilk Chicken was nice and crispy . Thanks,Good taste,1
17250168,Chicken was rubbery and tasted like it was days old,Bad quality or taste,1
17248931,Always friendly!!!,Good services,1
17253068,Great flavor. Moist tender chicken.,Good taste,1
17252183,Food was hot and tasty!,"Good taste,Good food temperature","1,1"
17253830,"great.""",Global positive feedbacks,1
17252006,Fish was lovely. Chips had gone a bit soggy,"Good taste,Bad quality or taste","1,1"
17255886,Love the chicken vindaloo,Good taste,1
17252061,"Food is awful, no enough choices and tasteless.","Bad quality or taste,Not enough options","1,1"
17249933,"Breakfast Sandwich was ice cold. First time ordering food from this cafe and was not impressed with overall quality. Staff is amazing, food quality not so much. Hoping it’s just a one off and will get better.","Bad food temperature,Bad quality or taste,Good services","1,1,1"
17251832,"Exchanged the lunch box with other, the pork is dry and hard",Bad quality or taste,1
17249074,App did not process order to team in the coffee point. Had to order in person.,"Wrong or missing order,App to improve","1,1"
17254837,I requested no croutons and got them on the side (which I left). I requested light dressing and got about 1/2 teaspoon on the entire salad. Lettuce was brown.,"Bad service,Bad quality or taste","1,1"
17249003,"Amazing dinner, thank you!","Global positive feedbacks,Good taste","1,1"
17249121,App/kiosk were not working this morning but glad to see it operational for lunch,App to improve,1
17253097,Great food! Great people,"Good services,Good food quality","1,1"
17251218,Excellent beef bimibab and caesar salad,Good taste,1
17251160,Everything was excellent,Global positive feedbacks,1
17251962,First class,Global positive feedbacks,1
17254920,I wish farmers eggs were still an option!,Not enough options,1
17248848,All excellent but the drink was in the bag with hot food and I did ask for cutlery but did not receive any. Thanks.,"Inappropriate packaging,Global positive feedbacks,Wrong or missing order,Good taste","1,1,1,1"
17249026,Amazing staff,Good services,1
17252794,Friendly and helpful staff.,Good services,1
17256874,Needed help to work out how to use app first time,App to improve,1
17250047,Can we cook shrimps with the rice just like the real paella?,Bad quality or taste,1
17252099,"Food portion too small, esp protein. Good not tasty","Portion too small,Bad quality or taste","1,1"
17253252,Great service. More vegan options please!,"Good services,Not enough options","1,1"
17253805,Great to see an amazing vegan option.,Good food quality,1
17254185,I like south Asia food but this is unacceptable. So tiny portion and the fish is super fatty.,"Bad quality or taste,Portion too small","1,1"
17257201,One of the best breakfast sandwiches I’ve ever had,Good taste,1
17252982,Grapes were moldy,Bad quality or taste,1
17251139,Everything is always delicious!🤪,Good taste,1
17256002,Lovely staff 🤗,Good services,1
17254172,I initially came up to 47F to buy some breakfast. Waited for around 7 mins but was not served or asked what I wanted due to the fact many pre order orders were coming in. So it seems that pre order orders get priority over walk up customers and unfair,"Bad service,Waited too long","1,1"
17257465,Perfect.,Global positive feedbacks,1
17254140,"I had to wait 10 minutes past the collection time, the server did not explain the wait, and when the entree was ready, somehow he wanted to save it for someone else (not around anywhere) instead of give to me waiting. He also put the order tag in the box.","Waited too long,Bad service","1,1"
17250966,Did not get my cookie. Food was good. Not as pictured but good.,"Misleading images,Wrong or missing order,Good food quality","1,1,1"
17249881,Biscuit undercooked “thick sliced” bacon is a thinly sliced one piece on a biscuit not near enough,Bad quality or taste,1
17255830,Lindsey is super nice!,Good services,1
17256284,"My order was accepted but when I went down to collect I was told there were none left in stock, 2nd time it has happened today 😔","Wrong or missing order,Product not available,App to improve","1,1,1"
17250859,"de""",Other,1
17256171,Monica was her lovely self as per usual.,Good services,1
17257680,Portion was a lot smaller,Portion too small,1
17248901,"Also, app was difficult to use at first. Needs to be more intuitive (for example, having to select the daily orders vs doing it all at once)""",App to improve,1
17255235,Kira non excellent form as per usual,Bad service,1
17252218,Food was really late from promised time and not correct. I ordered salmon with rice and veggies and got chicken with fries and veggies.,"Wrong or missing order,Waited too long","1,1"
